node 1,node 2,distance(Km.)
Baramunda Bus Stand,Baramunda Bus Stand,0
Baramunda Bus Stand,dhauli shanti stupa,15
Baramunda Bus Stand,Pathanisamanta planetarium,5.8
Baramunda Bus Stand,lingaraj temple,8.1
Baramunda Bus Stand,rajarani temple,7.9
Baramunda Bus Stand,mukteswara temple,8.4
Baramunda Bus Stand,Ram mandir,7.7
Baramunda Bus Stand,Ananta basudev temple,7.7
Baramunda Bus Stand,ISKON Temple,3.3
Baramunda Bus Stand,Bindu Sarovara,7.5
Baramunda Bus Stand,Kedar Gouri Temple,7.6
Baramunda Bus Stand,Ekamra Kanan Botanical Garden,4.9
Baramunda Bus Stand,Chandaka Reserve forest,25
Baramunda Bus Stand,Tikarpada wildlife Sanctuary,139
Baramunda Bus Stand,Nandanakanan Zoological park,17
Baramunda Bus Stand,Ocean world water park,27
Baramunda Bus Stand,Chilika lake,39
Baramunda Bus Stand,Indira Gandhi park,5.6
Baramunda Bus Stand,Udayagiri and khandagiri caves,2.5
Baramunda Bus Stand,Biju pattnaik park,5.2
dhauli shanti stupa,Baramunda Bus Stand,16
dhauli shanti stupa,dhauli shanti stupa,0
dhauli shanti stupa,Pathanisamanta planetarium,14
dhauli shanti stupa,lingaraj temple,7.2
dhauli shanti stupa,rajarani temple,7.9
dhauli shanti stupa,mukteswara temple,7.7
dhauli shanti stupa,Ram mandir,12
dhauli shanti stupa,Ananta basudev temple,7.5
dhauli shanti stupa,ISKON Temple,15
dhauli shanti stupa,Bindu Sarovara,7.5
dhauli shanti stupa,Kedar Gouri Temple,7.8
dhauli shanti stupa,Ekamra Kanan Botanical Garden,17
dhauli shanti stupa,Chandaka Reserve forest,39
dhauli shanti stupa,Tikarpada wildlife Sanctuary,159
dhauli shanti stupa,Nandanakanan Zoological park,29
dhauli shanti stupa,Ocean world water park,20
dhauli shanti stupa,Chilika lake,30
dhauli shanti stupa,Indira Gandhi park,11
dhauli shanti stupa,Udayagiri and khandagiri caves,15
dhauli shanti stupa,Biju pattnaik park,10
Pathanisamanta planetarium,Baramunda Bus Stand,6.4
Pathanisamanta planetarium,dhauli shanti stupa,15
Pathanisamanta planetarium,Pathanisamanta planetarium,0
Pathanisamanta planetarium,lingaraj temple,8.5
Pathanisamanta planetarium,rajarani temple,7.7
Pathanisamanta planetarium,mukteswara temple,8.2
Pathanisamanta planetarium,Ram mandir,4.1
Pathanisamanta planetarium,Ananta basudev temple,8.1
Pathanisamanta planetarium,ISKON Temple,4.5
Pathanisamanta planetarium,Bindu Sarovara,7.9
Pathanisamanta planetarium,Kedar Gouri Temple,8
Pathanisamanta planetarium,Ekamra Kanan Botanical Garden,5
Pathanisamanta planetarium,Chandaka Reserve forest,30
Pathanisamanta planetarium,Tikarpada wildlife Sanctuary,0
Pathanisamanta planetarium,Nandanakanan Zoological park,13
Pathanisamanta planetarium,Ocean world water park,21
Pathanisamanta planetarium,Chilika lake,0
Pathanisamanta planetarium,Indira Gandhi park,4.1
Pathanisamanta planetarium,Udayagiri and khandagiri caves,9.4
Pathanisamanta planetarium,Biju pattnaik park,6.2
lingaraj temple,Baramunda Bus Stand,8.6
lingaraj temple,dhauli shanti stupa,7.2
lingaraj temple,Pathanisamanta planetarium,8
lingaraj temple,lingaraj temple,0
lingaraj temple,rajarani temple,2
lingaraj temple,mukteswara temple,2
lingaraj temple,Ram mandir,5.3
lingaraj temple,Ananta basudev temple,0.8
lingaraj temple,ISKON Temple,8.7
lingaraj temple,Bindu Sarovara,0.8
lingaraj temple,Kedar Gouri Temple,1.2
lingaraj temple,Ekamra Kanan Botanical Garden,10
lingaraj temple,Chandaka Reserve forest,32
lingaraj temple,Tikarpada wildlife Sanctuary,0
lingaraj temple,Nandanakanan Zoological park,20
lingaraj temple,Ocean world water park,18
lingaraj temple,Chilika lake,0
lingaraj temple,Indira Gandhi park,4.5
lingaraj temple,Udayagiri and khandagiri caves,9.1
lingaraj temple,Biju pattnaik park,3.1
rajarani temple,Baramunda Bus Stand,8.4
rajarani temple,dhauli shanti stupa,7.9
rajarani temple,Pathanisamanta planetarium,7.1
rajarani temple,lingaraj temple,2.1
rajarani temple,rajarani temple,0
rajarani temple,mukteswara temple,1.2
rajarani temple,Ram mandir,4.5
rajarani temple,Ananta basudev temple,1.2
