Places,Rating,Cost
Baramunda Bus Stand,3.8,0
dhauli shanti stupa,4.5,200
Pathanisamanta planetarium,4.3,30
lingaraj temple,4.6,500
rajarani temple,4.4,15
mukteswara temple,4.7,150
Ram mandir,4.7,100
Ananta basudev temple,4.6,500
ISKON Temple,4.6,100
Bindu Sarovara,3.5,150
Kedar Gouri Temple,4.6,200
Ekamra Kanan Botanical Garden,4.4,25
Chandaka Reserve forest,4.4,1000
Tikarpada wildlife Sanctuary,4.3,200
Nandanakanan Zoological park,4.4,50
Ocean world water park,4,500
Chilika lake,4,200
Indira Gandhi park,4.1,50
Udayagiri and khandagiri caves,4.5,20
Biju pattnaik park,4.5,300
