node1,node2,distance(Km.)
Netaji subash Ch. Busstand,Netaji subash Ch. Busstand,0
Netaji subash Ch. Busstand,Barabati Fort,6
Netaji subash Ch. Busstand,Barabati Stadium,4.5
Netaji subash Ch. Busstand,Maa Cuttack Chandi Temple,4.6
Netaji subash Ch. Busstand,Netaji Birth Place Museum,3.3
Netaji subash Ch. Busstand,Shree Singhanath Temple,64.5
Netaji subash Ch. Busstand,Paradeep Sea Beach,94.5
Netaji subash Ch. Busstand,Shree Dhabaleswar Temple,34.4
Netaji subash Ch. Busstand,Odisha Maritime Museum,4.4
Netaji subash Ch. Busstand,Deer Park,6.6
Netaji subash Ch. Busstand,Baliyatra Ground,6.4
Netaji subash Ch. Busstand,Anshupa Lake,41.6
Netaji subash Ch. Busstand,Peacock Valley,15.3
Netaji subash Ch. Busstand,Mahanadi (T) Bridge,7
Netaji subash Ch. Busstand,State Botanical Garden,12
Netaji subash Ch. Busstand,Maa Charchika Temple,42.1
Netaji subash Ch. Busstand,Chaudwar,18.6
Barabati Fort,Netaji subash Ch. Busstand,6
Barabati Fort,Barabati Fort,0
Barabati Fort,Barabati Stadium,0.75
Barabati Fort,Maa Cuttack Chandi Temple,1.5
Barabati Fort,Netaji Birth Place Museum,2.7
Barabati Fort,Shree Singhanath Temple,66.7
Barabati Fort,Paradeep Sea Beach,97.4
Barabati Fort,Shree Dhabaleswar Temple,38.6
Barabati Fort,Odisha Maritime Museum,5
Barabati Fort,Deer Park,1.6
Barabati Fort,Baliyatra Ground,1.5
Barabati Fort,Anshupa Lake,42.9
Barabati Fort,Peacock Valley,15.2
Barabati Fort,Mahanadi (T) Bridge,8.2
Barabati Fort,State Botanical Garden,12
Barabati Fort,Maa Charchika Temple,46.3
Barabati Fort,Chaudwar,14.8
Barabati Stadium,Netaji subash Ch. Busstand,4.5
Barabati Stadium,Barabati Fort,0.8
Barabati Stadium,Barabati Stadium,0
Barabati Stadium,Maa Cuttack Chandi Temple,1
Barabati Stadium,Netaji Birth Place Museum,2.3
Barabati Stadium,Shree Singhanath Temple,66.5
Barabati Stadium,Paradeep Sea Beach,96.8
Barabati Stadium,Shree Dhabaleswar Temple,37.8
Barabati Stadium,Odisha Maritime Museum,4.5
Barabati Stadium,Deer Park,1.3
Barabati Stadium,Baliyatra Ground,0.95
