node1,node2,distance(Km.)
Puri bus stand,Sri jagannath puri temple,1.6
Puri bus stand,Puri beach,3.1
Puri bus stand,Narendra tank,1.1
Puri bus stand,sudarshan crafts museum,1.4
Puri bus stand,gundicha temple,1.3
Puri bus stand,raghurajpur artist village,11
Puri bus stand,markandeswar temple,2.3
Puri bus stand,sakhi gopal temple,19
Puri bus stand,lakshmi temple,3
Puri bus stand,swargadwar beach,3.6
Puri bus stand,vimala temple,1
Puri bus stand,lokanath temple,3.7
Puri bus stand,alarnatha temple,3
Puri bus stand,baliharachandi beach,21
Puri bus stand,mausima temple,1
Puri bus stand, wonder world water park,10
Puri bus stand,konark temple,34
Puri bus stand,pipili,37
Sri jagannath puri temple,Puri bus stand,1.6
Sri jagannath puri temple,Puri beach,1
Sri jagannath puri temple,Narendra tank,1.2
Sri jagannath puri temple,sudarshan crafts museum,2.5
Sri jagannath puri temple,gundicha temple,3
Sri jagannath puri temple,raghurajpur artist village,15
Sri jagannath puri temple,markandeswar temple,2.5
Sri jagannath puri temple,sakhi gopal temple,21
Sri jagannath puri temple,lakshmi temple,1
Sri jagannath puri temple,swargadwar beach,2
Sri jagannath puri temple,vimala temple,1
Sri jagannath puri temple,lokanath temple,3
Sri jagannath puri temple,alarnatha temple,2
Sri jagannath puri temple,baliharachandi beach,20
Sri jagannath puri temple,mausima temple,2
Sri jagannath puri temple, wonder world water park,12
Sri jagannath puri temple,konark temple,36
Sri jagannath puri temple,pipili,39
Puri beach,Puri bus stand,3.1
Puri beach,Sri jagannath puri temple,1
Puri beach,Narendra tank,2
Puri beach,sudarshan crafts museum,4
Puri beach,gundicha temple,4
Puri beach,raghurajpur artist village,17
Puri beach,markandeswar temple,3
Puri beach,sakhi gopal temple,23
Puri beach,lakshmi temple,2
Puri beach,swargadwar beach,1
Puri beach,vimala temple,2
Puri beach,lokanath temple,2
Puri beach,alarnatha temple,3
Puri beach,baliharachandi beach,18
Puri beach,mausima temple,3
Puri beach, wonder world water park,14
Puri beach,konark temple,38
Puri beach,pipili,40
Narendra tank,Puri bus stand,2
Narendra tank,Sri jagannath puri temple,1.2
Narendra tank,Puri beach,2
Narendra tank,sudarshan crafts museum,3
Narendra tank,gundicha temple,3.5
Narendra tank,raghurajpur artist village,18
Narendra tank,markandeswar temple,2
Narendra tank,sakhi gopal temple,21
Narendra tank,lakshmi temple,1.5
Narendra tank,swargadwar beach,2
Narendra tank,vimala temple,1.5
Narendra tank,lokanath temple,2.5
Narendra tank,alarnatha temple,3
Narendra tank,baliharachandi beach,17
Narendra tank,mausima temple,2
Narendra tank, wonder world water park,13
Narendra tank,konark temple,37
Narendra tank,pipili,38
sudarshan crafts museum,puri bus stand,1.4
sudarshan crafts museum,Sri jagannath puri temple,2.5
sudarshan crafts museum,Puri beach,4
sudarshan crafts museum,Narendra tank,3
sudarshan crafts museum,gundicha temple,6
sudarshan crafts museum,raghurajpur artist village,20
sudarshan crafts museum,markandeswar temple,3
sudarshan crafts museum,sakhi gopal temple,24
sudarshan crafts museum,lakshmi temple,2.5
sudarshan crafts museum,swargadwar beach,2
sudarshan crafts museum,vimala temple,2.5
sudarshan crafts museum,lokanath temple,3.5
sudarshan crafts museum,alarnatha temple,3
sudarshan crafts museum,baliharachandi beach,23
sudarshan crafts museum,mausima temple,4
sudarshan crafts museum, wonder world water park,15
sudarshan crafts museum,konark temple,39
sudarshan crafts museum,pipili,42
gundicha temple,puri bus stand,1.3
gundicha temple,Sri jagannath puri temple,3
gundicha temple,Puri beach,4
gundicha temple,Narendra tank,3.5
gundicha temple,sudarshan crafts museum,6
gundicha temple,raghurajpur artist village,18
gundicha temple,markandeswar temple,4
gundicha temple,sakhi gopal temple,24
gundicha temple,lakshmi temple,4
gundicha temple,swargadwar beach,3
gundicha temple,vimala temple,4
gundicha temple,lokanath temple,5
gundicha temple,alarnatha temple,3
gundicha temple,baliharachandi beach,24
gundicha temple,mausima temple,3
gundicha temple, wonder world water park,16
gundicha temple,konark temple,40
gundicha temple,pipili,43
raghurajpur artist village,puri bus stand,11
raghurajpur artist village,Sri jagannath puri temple,15
raghurajpur artist village,Puri beach,17
raghurajpur artist village,Narendra tank,18
raghurajpur artist village,sudarshan crafts museum,20
raghurajpur artist village,gundicha temple,18
raghurajpur artist village,markandeswar temple,16
raghurajpur artist village,sakhi gopal temple,30
raghurajpur artist village,lakshmi temple,16
raghurajpur artist village,swargadwar beach,17
raghurajpur artist village,vimala temple,16
raghurajpur artist village,lokanath temple,18
raghurajpur artist village,alarnatha temple,20
raghurajpur artist village,baliharachandi beach,38
raghurajpur artist village,mausima temple,18
raghurajpur artist village, wonder world water park,28
raghurajpur artist village,konark temple,42
raghurajpur artist village,pipili,46
markandeswar temple,puri bus stand,2.3
markandeswar temple,Sri jagannath puri temple,2.5
markandeswar temple,Puri beach,3
markandeswar temple,Narendra tank,2
markandeswar temple,sudarshan crafts museum,3
markandeswar temple,gundicha temple,4
markandeswar temple,raghurajpur artistic village,16
markandeswar temple,sakhi gopal temple,17
markandeswar temple,lakshmi temple,2
markandeswar temple,swargadwar beach,3
markandeswar temple,vimala temple,2
